signal_strength,fiber_loss,temperature,traffic_load,power_status,equipment_health,humidity,fault
61,5.464403567198457,34,42,0,71,49,1
24,3.470573748377673,36,65,1,69,56,1
81,2.35070617525333,28,58,1,75,92,0
70,4.203979730768987,21,89,0,88,65,1
30,1.174770869665287,48,42,0,52,50,1
92,5.814578624546063,50,98,0,95,82,1
96,3.9821253924231756,51,32,1,75,72,1
84,0.4986554662101199,20,15,1,93,35,0
84,3.225525421958841,49,76,1,82,54,1
97,4.527010420627219,47,67,1,92,43,1
33,1.7392909579616092,45,28,0,74,55,1
12,0.4008382877540122,37,39,1,55,52,1
31,2.986058383609645,20,49,1,84,90,1
62,5.018384216445342,38,97,0,66,33,1
11,1.5840527971091316,54,55,1,80,58,1
97,4.330377371249536,52,51,1,83,55,1
39,2.5059650282145824,27,26,0,73,58,1
47,0.45182914301543664,46,47,1,80,44,1
11,1.8933819938785856,27,34,0,70,92,1
73,1.9520241910826561,51,55,0,65,42,1
69,5.437519323471497,38,53,1,65,58,1
30,5.892314156416169,49,74,1,47,84,1
42,1.3376299982159334,29,25,1,68,72,0
85,2.6400257914223575,35,85,1,65,69,0
67,5.862550378604928,22,84,0,42,71,1
31,2.5028821443375366,41,83,1,97,62,1
98,2.1601094783850168,41,12,1,55,58,0
58,0.7483009236478708,40,77,0,45,92,1
68,4.544378557347267,49,41,0,98,62,1
51,2.737332796190567,46,12,0,42,39,1
69,3.868111417197673,21,54,0,76,38,1
89,3.1081549586056108,27,59,0,92,80,1
24,1.1297691177106284,42,27,1,78,63,1
71,1.1405817943337693,33,47,1,84,38,0
71,5.644562319418268,50,95,0,78,33,1
56,5.348162962398557,38,72,1,60,90,1
71,3.7027406294362186,49,78,0,40,59,1
60,0.10734109095056114,35,94,0,78,75,1
64,2.656444280674169,31,78,1,85,53,0
73,3.2295252308283415,43,65,0,78,31,1
12,2.751683063689682,51,99,1,87,72,1
60,5.560151734904844,38,95,0,77,53,1
16,0.3411084646054384,24,18,0,41,69,1
30,3.964078188956618,21,31,1,40,84,1
82,1.9516347520502277,51,85,0,76,72,1
48,3.400914629212087,46,71,0,78,91,1
27,3.969912326597034,21,86,1,73,72,1
13,2.7008457588634522,41,29,0,74,69,1
98,0.9754088652355891,53,73,1,49,61,1
69,3.1623249651615724,46,14,1,98,58,1
23,5.604441379196975,36,12,0,54,32,1
18,3.26169305545874,42,29,1,54,88,1
99,0.8253450420311405,29,88,0,61,57,1
62,4.962561845534604,41,14,1,95,34,1
11,1.4082948342613621,34,60,0,61,47,1
93,2.284280157775849,35,87,0,44,42,1
69,2.6296670429563824,47,74,1,87,57,1
80,2.104225558915148,54,68,0,40,33,1
53,2.4862652500361366,51,52,1,99,77,1
17,4.793335702725913,43,80,1,83,57,1
56,1.417818158436615,40,81,0,43,73,1
44,2.87546950189241,38,30,0,70,67,1
87,0.2180505345067268,51,44,0,55,33,1
90,3.095228923898622,53,51,1,42,61,1
45,0.7589630022307419,37,59,0,40,32,1
59,1.7651920591853776,30,85,0,73,71,1
13,2.0167530264592353,30,63,0,72,61,1
11,0.5858804912872693,37,29,0,79,58,1
15,2.227340364137501,20,48,1,52,85,1
63,3.0385386715966773,20,94,1,48,44,1
13,2.643462985831905,43,55,0,89,73,1
63,1.7545093561962797,41,28,1,75,30,0
72,1.8396442681880456,26,86,1,81,69,0
27,3.838139908764431,36,12,1,98,62,1
99,4.338535700123795,31,57,0,58,50,1
53,3.5015308461438224,20,65,1,94,48,0
43,5.859509440082352,22,91,1,60,93,1
83,5.67475697324002,49,12,1,78,47,1
71,0.6809668334513945,42,67,1,46,32,1
23,1.6421089892051657,27,46,1,41,32,1
57,5.223525265937573,36,76,0,79,63,1
24,0.27501473365639695,25,62,1,93,39,1
81,3.5939632830892068,31,47,0,80,91,1
87,5.731547284411325,40,26,1,63,94,1
96,4.1044342812619385,30,99,1,62,83,1
71,0.6424065404091708,21,70,0,43,55,1
49,4.512124612665463,39,27,0,52,50,1
94,2.321259514318171,39,94,1,94,52,0
89,5.537048325185304,50,34,1,52,63,1
91,1.7892660847825839,43,42,1,91,76,0
62,2.8920690037067707,41,40,1,99,77,0
33,4.50498237505536,28,17,0,65,47,1
35,1.619485829089433,36,63,1,69,31,0
98,1.1725158498791108,53,57,1,51,59,1
69,0.11597803604902605,30,29,0,65,70,1
50,2.978974774687867,25,53,0,97,51,1
38,5.578843084737707,42,52,0,80,68,1
24,1.760774345367639,45,68,0,45,52,1
54,0.35593332154285406,28,35,0,92,85,1
74,3.7605445644771076,27,98,0,45,55,1
98,0.4314024950744174,45,38,0,45,49,1
80,3.0907821833928804,31,33,0,67,43,1
18,2.3510252754934133,52,69,1,70,83,1
97,2.9050007370877595,26,20,0,43,36,1
10,1.059577689595357,35,80,0,57,30,1
17,0.6321910954506498,45,15,1,94,33,1
97,4.519046178716175,44,58,1,94,55,1
72,1.5494338843515378,54,33,0,78,59,1
20,4.822502163050272,48,64,0,84,60,1
90,4.574838964037159,47,19,0,50,49,1
17,1.27043533721432,35,38,0,56,85,1
44,5.458913976049279,38,83,0,57,52,1
44,1.051549589396273,25,78,0,79,50,1
42,4.803159916354711,46,60,1,89,82,1
14,2.581148952296884,22,86,0,73,30,1
50,1.1797962625660565,53,98,0,46,30,1
37,5.634856768224166,36,20,1,82,83,1
16,5.7832191697629405,51,77,1,50,94,1
82,3.1171001796447264,43,25,1,70,84,0
81,2.868129653998118,54,48,0,50,72,1
21,5.414966223430541,54,69,0,75,71,1
43,3.617206397891238,51,42,0,86,35,1
42,1.669627877379553,34,89,0,50,90,1
57,2.608663815442224,44,61,0,93,38,1
32,5.032335563004941,40,23,1,59,55,1
71,5.17142351339309,33,24,0,63,85,1
97,5.641591540540929,42,66,0,61,31,1
46,1.8007392343476254,26,52,1,51,42,0
53,4.111721266109493,24,31,0,87,82,1
95,0.503493992773835,33,60,0,67,40,1
44,4.382825667607835,38,11,0,47,79,1
74,3.422878171269905,26,18,0,74,34,1
56,1.573619949228545,27,37,1,63,87,0
87,3.962328299997616,23,55,1,70,49,0
12,0.897574402311684,25,52,1,76,36,1
